id_panel,proveedor,lote,espesor_mm,resistencia_fluencia_MPa,recubrimiento_zinc_g_m2,U_W_m2K,cumple_requisito_U
P1010-039,B,1010,0.933,230.4,225.0,0.342,True
P1003-125,A,1003,0.876,241.9,239.0,0.347,True
P1005-093,B,1005,0.917,238.3,213.0,0.383,True
P1006-119,B,1006,0.831,207.2,226.0,0.35,True
P1008-018,A,1008,0.92,241.8,205.0,0.338,True
P1011-130,B,1011,0.894,226.6,195.0,0.355,True
P1010-033,B,1010,0.937,252.3,202.0,0.366,True
P1011-072,B,1011,0.852,222.7,223.0,0.363,True
P1001-070,A,1001,0.777,216.5,243.0,0.357,True
P1003-131,A,1003,0.897,240.3,240.0,0.349,True
P1007-045,A,1007,0.849,239.1,218.0,0.351,True
P1001-039,B,1001,0.938,242.4,203.0,0.347,True
P1004-055,B,1004,0.74,201.0,225.0,0.406,False
P1002-058,B,1002,0.789,231.6,218.0,0.373,True
P1011-029,A,1011,0.955,226.0,216.0,0.369,True
P1001-029,A,1001,0.82,230.5,210.0,0.356,True
P1002-037,B,1002,0.833,211.5,200.0,0.363,True
P1003-075,A,1003,0.871,237.0,211.0,0.35,True
P1002-055,B,1002,0.86,221.1,189.0,0.325,True
P1007-063,B,1007,0.894,218.1,190.0,0.342,True
P1005-115,B,1005,0.956,247.1,211.0,0.331,True
P1011-039,A,1011,0.98,243.3,224.0,0.32,True
P1003-145,B,1003,0.875,224.6,203.0,0.346,True
P1006-120,B,1006,0.975,257.4,222.0,0.377,True
P1008-028,B,1008,0.886,227.6,217.0,0.362,True
P1007-050,A,1007,0.915,235.5,246.0,0.377,True
P1009-030,A,1009,0.911,238.1,199.0,0.365,True
P1003-044,A,1003,0.835,221.4,182.0,0.375,True
P1006-059,A,1006,0.905,240.1,186.0,0.345,True
P1009-021,B,1009,0.855,224.0,203.0,0.373,True
P1010-003,B,1010,0.936,232.0,166.0,0.371,True
P1007-070,B,1007,1.0,258.4,211.0,0.347,True
P1008-112,A,1008,0.849,217.4,242.0,0.37,True
P1010-049,A,1010,0.883,203.7,172.0,0.369,True
P1007-137,A,1007,0.812,246.3,227.0,0.356,True
P1011-059,A,1011,0.865,261.8,248.0,0.344,True
P1002-144,A,1002,0.919,230.7,200.0,0.34,True
P1004-038,A,1004,0.972,216.5,213.0,0.356,True
P1002-086,A,1002,0.856,226.8,206.0,0.367,True
P1001-122,B,1001,0.838,225.6,210.0,0.354,True
P1006-010,A,1006,0.771,221.4,214.0,0.367,True
P1003-148,B,1003,0.805,213.0,199.0,0.376,True
P1005-059,B,1005,0.834,235.7,226.0,0.375,True
P1005-080,A,1005,0.868,237.8,214.0,0.384,True
P1007-100,B,1007,0.867,213.4,191.0,0.383,True
P1011-103,B,1011,0.903,242.6,229.0,0.347,True
P1010-004,A,1010,0.795,250.2,252.0,0.391,True
P1005-138,A,1005,0.812,229.0,218.0,0.356,True
P1004-100,B,1004,0.856,226.4,195.0,0.38,True
P1009-159,A,1009,0.823,226.1,227.0,0.365,True
P1002-075,A,1002,0.834,236.1,277.0,0.357,True
P1006-098,A,1006,1.01,222.0,235.0,0.325,True
P1005-071,B,1005,0.958,240.6,191.0,0.356,True
P1003-142,B,1003,0.907,229.9,219.0,0.338,True
P1007-133,B,1007,0.871,253.8,185.0,0.378,True
P1004-145,B,1004,0.904,232.3,206.0,0.384,True
